#r-i 					  g-r 						i-z 
-4.143780487804876733e-01 -5.275379009207559200e-01 -3.237060355179623428e-01
-4.133780487804876724e-01 -5.259751483603208877e-01 -3.226881956932968198e-01
-4.123780487804876715e-01 -5.244123957998858554e-01 -3.216703558686312414e-01
-4.113780487804876707e-01 -5.228496432394509341e-01 -3.206525160439657185e-01
-4.103780487804876698e-01 -5.212868906790159018e-01 -3.196346762193001956e-01
-4.093780487804876689e-01 -5.197241381185808695e-01 -3.186168363946346171e-01
-4.083780487804876680e-01 -5.181613855581458372e-01 -3.175989965699690942e-01
-4.073780487804876671e-01 -5.165986329977109159e-01 -3.165811567453035158e-01
-4.063780487804876662e-01 -5.150358804372758836e-01 -3.155633169206379929e-01
-4.053780487804876653e-01 -5.134731278768408513e-01 -3.145454770959724700e-01
-4.043780487804876644e-01 -5.119103753164058190e-01 -3.135276372713068915e-01
-4.033780487804876635e-01 -5.103476227559708978e-01 -3.125097974466413686e-01
-4.023780487804876627e-01 -5.087848701955358655e-01 -3.114919576219757902e-01
-4.013780487804876618e-01 -5.072221176351008332e-01 -3.104741177973102673e-01
-4.003780487804876609e-01 -5.056593650746658009e-01 -3.094562779726446888e-01
-3.993780487804876600e-01 -5.042240706996804489e-01 -3.084384381479791659e-01
-3.983780487804876591e-01 -5.029412759654817711e-01 -3.074205983233136430e-01
-3.973780487804876582e-01 -5.016584812312832042e-01 -3.064027584986480646e-01
-3.963780487804876573e-01 -5.003756864970845264e-01 -3.053849186739825416e-01
-3.953780487804876564e-01 -4.990928917628859596e-01 -3.043670788493169632e-01
-3.943780487804876556e-01 -4.978100970286873372e-01 -3.033492390246514403e-01
-3.933780487804876547e-01 -4.965273022944887149e-01 -3.023002745938035418e-01
-3.923780487804876538e-01 -4.952445075602900926e-01 -3.012258236554902213e-01
-3.913780487804876529e-01 -4.939617128260914702e-01 -3.001513727171769008e-01
-3.903780487804876520e-01 -4.926789180918928479e-01 -2.990769217788635803e-01
-3.893780487804876511e-01 -4.913961233576942256e-01 -2.980024708405502598e-01
-3.883780487804876502e-01 -4.901133286234956032e-01 -2.969280199022369393e-01
-3.873780487804876493e-01 -4.888305338892969809e-01 -2.958535689639236188e-01
-3.863780487804876485e-01 -4.875477391550983586e-01 -2.947791180256102983e-01
-3.853780487804876476e-01 -4.862649444208997362e-01 -2.937046670872969778e-01
-3.843780487804876467e-01 -4.849821496867011694e-01 -2.926302161489836573e-01
-3.833780487804876458e-01 -4.836993549525025471e-01 -2.915557652106703368e-01
-3.823780487804876449e-01 -4.824165602183039248e-01 -2.904813142723570163e-01
-3.813780487804876440e-01 -4.811337654841053024e-01 -2.894068633340436403e-01
-3.803780487804876431e-01 -4.798509707499066801e-01 -2.883324123957303753e-01
-3.793780487804876422e-01 -4.785681760157080578e-01 -2.872579614574169993e-01
-3.783780487804876413e-01 -4.772853812815094354e-01 -2.861835105191036788e-01
-3.773780487804876405e-01 -4.760025865473108131e-01 -2.851090595807903583e-01
-3.763780487804876396e-01 -4.747197918131121908e-01 -2.840346086424770378e-01
-3.753780487804876387e-01 -4.734369970789135684e-01 -2.829601577041637173e-01
-3.743780487804876378e-01 -4.721542023447149461e-01 -2.818857067658503968e-01
-3.733780487804876369e-01 -4.708714076105163238e-01 -2.808112558275370763e-01
-3.723780487804876360e-01 -4.695886128763177014e-01 -2.797368048892237558e-01
-3.713780487804876351e-01 -4.682010910124397296e-01 -2.786623539509104353e-01
-3.703780487804876342e-01 -4.666592298245944015e-01 -2.775879030125971147e-01
-3.693780487804876334e-01 -4.651173686367490734e-01 -2.765134520742837942e-01
-3.683780487804876325e-01 -4.635755074489038008e-01 -2.754390011359704737e-01
-3.673780487804876316e-01 -4.620336462610584727e-01 -2.743645501976571532e-01
-3.663780487804876307e-01 -4.604917850732131446e-01 -2.732900992593438327e-01
-3.653780487804876298e-01 -4.589499238853678165e-01 -2.722156483210305122e-01
-3.643780487804876289e-01 -4.574080626975225439e-01 -2.711411973827171917e-01
-3.633780487804876280e-01 -4.558662015096772158e-01 -2.700667464444038712e-01
-3.623780487804876271e-01 -4.543243403218318877e-01 -2.689922955060905507e-01
-3.613780487804876262e-01 -4.527824791339866151e-01 -2.679217880286815512e-01
-3.603780487804876254e-01 -4.512406179461412870e-01 -2.669039482040160283e-01
-3.593780487804876245e-01 -4.496987567582959588e-01 -2.658861083793505053e-01
-3.583780487804876236e-01 -4.481568955704506307e-01 -2.648682685546849824e-01
-3.573780487804876227e-01 -4.466150343826053581e-01 -2.638504287300194040e-01
-3.563780487804876218e-01 -4.450731731947600300e-01 -2.628325889053538811e-01
-3.553780487804876209e-01 -4.435313120069147019e-01 -2.618147490806883582e-01
-3.543780487804876200e-01 -4.419894508190693738e-01 -2.607969092560228352e-01
-3.533780487804876191e-01 -4.404475896312241012e-01 -2.597790694313572568e-01
-3.523780487804876183e-01 -4.389057284433787731e-01 -2.587612296066917339e-01
-3.513780487804876174e-01 -4.373638672555334450e-01 -2.577433897820262110e-01
-3.503780487804876165e-01 -4.358220060676881724e-01 -2.567255499573606881e-01
-3.493780487804876156e-01 -4.342801448798428443e-01 -2.557077101326951096e-01
-3.483780487804876147e-01 -4.327382836919975162e-01 -2.546898703080295867e-01
-3.473780487804876138e-01 -4.312615938083970701e-01 -2.536720304833640638e-01
-3.463780487804876129e-01 -4.298030367723229550e-01 -2.526541906586985409e-01
-3.453780487804876120e-01 -4.283444797362488399e-01 -2.516363508340330180e-01
-3.443780487804876111e-01 -4.268859227001747803e-01 -2.506185110093674395e-01
-3.433780487804876103e-01 -4.254273656641006651e-01 -2.496006711847019166e-01
-3.423780487804876094e-01 -4.239688086280266055e-01 -2.485828313600363937e-01
-3.413780487804876085e-01 -4.225102515919524904e-01 -2.475649915353708430e-01
-3.403780487804876076e-01 -4.210516945558783752e-01 -2.465471517107053201e-01
-3.393780487804876067e-01 -4.195931375198043156e-01 -2.455293118860397694e-01
-3.383780487804876058e-01 -4.181345804837302005e-01 -2.445114720613742465e-01
-3.373780487804876049e-01 -4.166760234476561409e-01 -2.434936322367087236e-01
-3.363780487804876040e-01 -4.152174664115820257e-01 -2.424757924120431729e-01
-3.353780487804876032e-01 -4.137589093755079106e-01 -2.414579525873776500e-01
-3.343780487804876023e-01 -4.123003523394338510e-01 -2.404401127627120993e-01
-3.333780487804876014e-01 -4.108417953033597358e-01 -2.394222729380465764e-01
-3.323780487804876005e-01 -4.093832382672856762e-01 -2.384044331133810257e-01
-3.313780487804875996e-01 -4.079246812312115611e-01 -2.373865932887155028e-01
-3.303780487804875987e-01 -4.064661241951374460e-01 -2.363687534640499521e-01
-3.293780487804875978e-01 -4.050075671590633863e-01 -2.353509136393844292e-01
-3.283780487804875969e-01 -4.035490101229892712e-01 -2.343859150777361233e-01
-3.273780487804875960e-01 -4.020904530869152116e-01 -2.334577095163462290e-01
-3.263780487804875952e-01 -4.006318960508410965e-01 -2.325295039549563347e-01
-3.253780487804875943e-01 -3.991733390147669813e-01 -2.316012983935664404e-01
-3.243780487804875934e-01 -3.977147819786929217e-01 -2.306730928321765184e-01
-3.233780487804875925e-01 -3.962562249426188066e-01 -2.297448872707866241e-01
-3.223780487804875916e-01 -3.947963918596366639e-01 -2.288166817093967298e-01
-3.213780487804875907e-01 -3.933359693701989346e-01 -2.278884761480068355e-01
-3.203780487804875898e-01 -3.918755468807611497e-01 -2.269602705866169412e-01
-3.193780487804875889e-01 -3.904151243913233649e-01 -2.260320650252270469e-01
-3.183780487804875881e-01 -3.889547019018856355e-01 -2.251038594638371249e-01
-3.173780487804875872e-01 -3.874942794124478507e-01 -2.241756539024472306e-01
-3.163780487804875863e-01 -3.860338569230100658e-01 -2.232474483410573363e-01
-3.153780487804875854e-01 -3.845734344335722810e-01 -2.223192427796674420e-01
-3.143780487804875845e-01 -3.831130119441345516e-01 -2.213910372182775477e-01
-3.133780487804875836e-01 -3.816525894546967668e-01 -2.204628316568876256e-01
-3.123780487804875827e-01 -3.801921669652589819e-01 -2.195346260954977313e-01
-3.113780487804875818e-01 -3.787317444758212526e-01 -2.186064205341078370e-01
-3.103780487804875809e-01 -3.772713219863834677e-01 -2.176782149727179427e-01
-3.093780487804875801e-01 -3.758108994969456829e-01 -2.167500094113280484e-01
-3.083780487804875792e-01 -3.743504770075079535e-01 -2.158218038499381541e-01
-3.073780487804875783e-01 -3.728900545180701687e-01 -2.148935982885482321e-01
-3.063780487804875774e-01 -3.714296320286323838e-01 -2.139653927271583378e-01
-3.053780487804875765e-01 -3.699692095391945990e-01 -2.130371871657684435e-01
-3.043780487804875756e-01 -3.685087870497568696e-01 -2.121089816043785492e-01
-3.033780487804875747e-01 -3.670483645603190848e-01 -2.111807760429886549e-01
-3.023780487804875738e-01 -3.655879420708812999e-01 -2.102525704815987329e-01
-3.013780487804875730e-01 -3.641275195814435706e-01 -2.093243649202088386e-01
-3.003780487804875721e-01 -3.626670970920057857e-01 -2.083961593588189443e-01
-2.993780487804875712e-01 -3.612066746025680009e-01 -2.074679537974290500e-01
-2.983780487804875703e-01 -3.597462521131302715e-01 -2.065397482360391557e-01
-2.973780487804875694e-01 -3.582891077069548791e-01 -2.056115426746492614e-01
-2.963780487804875685e-01 -3.568342815776081034e-01 -2.046884973499226712e-01
-2.953780487804875676e-01 -3.553794554482613277e-01 -2.038074677165725990e-01
-2.943780487804875667e-01 -3.539246293189145520e-01 -2.029264380832225267e-01
-2.933780487804875658e-01 -3.524698031895677763e-01 -2.020454084498724545e-01
-2.923780487804875650e-01 -3.510149770602210006e-01 -2.011643788165223823e-01
-2.913780487804875641e-01 -3.495601509308742250e-01 -2.002833491831723101e-01
-2.903780487804875632e-01 -3.481053248015274493e-01 -1.994023195498222378e-01
-2.893780487804875623e-01 -3.466504986721806736e-01 -1.985212899164721656e-01
-2.883780487804875614e-01 -3.451956725428338979e-01 -1.976402602831220934e-01
-2.873780487804875605e-01 -3.437408464134871222e-01 -1.967592306497720211e-01
-2.863780487804875596e-01 -3.422860202841403465e-01 -1.958782010164219489e-01
-2.853780487804875587e-01 -3.408311941547935708e-01 -1.949971713830718767e-01
-2.843780487804875579e-01 -3.393763680254467952e-01 -1.941161417497218045e-01
-2.833780487804875570e-01 -3.379215418961000195e-01 -1.932351121163717045e-01
-2.823780487804875561e-01 -3.364667157667532438e-01 -1.923540824830216323e-01
-2.813780487804875552e-01 -3.350118896374064681e-01 -1.914730528496715600e-01
-2.803780487804875543e-01 -3.335570635080596924e-01 -1.905920232163214878e-01
-2.793780487804875534e-01 -3.321022373787129167e-01 -1.897109935829714156e-01
-2.783780487804875525e-01 -3.306474112493661410e-01 -1.888299639496213433e-01
-2.773780487804875516e-01 -3.291925851200193653e-01 -1.879489343162712711e-01
-2.763780487804875508e-01 -3.277377589906725897e-01 -1.870679046829211989e-01
-2.753780487804875499e-01 -3.262829328613258140e-01 -1.861868750495711267e-01
-2.743780487804875490e-01 -3.248281067319790383e-01 -1.853058454162210544e-01
-2.733780487804875481e-01 -3.233732806026322626e-01 -1.844248157828709822e-01
-2.723780487804875472e-01 -3.219179998023187217e-01 -1.835437861495209100e-01
-2.713780487804875463e-01 -3.204622409462901667e-01 -1.826627565161708100e-01
-2.703780487804875454e-01 -3.190064820902615561e-01 -1.817817268828207378e-01
-2.693780487804875445e-01 -3.175507232342329456e-01 -1.809006972494706655e-01
-2.683780487804875436e-01 -3.160949643782043905e-01 -1.800196676161205933e-01
-2.673780487804875428e-01 -3.146392055221757800e-01 -1.791386379827705211e-01
-2.663780487804875419e-01 -3.131834466661471694e-01 -1.782576083494204489e-01
-2.653780487804875410e-01 -3.117276878101186144e-01 -1.773765787160703766e-01
-2.643780487804875401e-01 -3.102719289540900038e-01 -1.764955490827203044e-01
-2.633780487804875392e-01 -3.088161700980613933e-01 -1.756085824073092827e-01
-2.623780487804875383e-01 -3.073604112420328383e-01 -1.747181175883512350e-01
-2.613780487804875374e-01 -3.059046523860042277e-01 -1.738276527693931872e-01
-2.603780487804875365e-01 -3.044488935299756172e-01 -1.729371879504351672e-01
-2.593780487804875357e-01 -3.029931346739470621e-01 -1.720467231314771195e-01
-2.583780487804875348e-01 -3.015373758179184516e-01 -1.711562583125190717e-01
-2.573780487804875339e-01 -3.000816169618898410e-01 -1.702657934935610518e-01
-2.563780487804875330e-01 -2.986258581058612860e-01 -1.693753286746030040e-01
-2.553780487804875321e-01 -2.971700992498326754e-01 -1.684848638556449563e-01
-2.543780487804875312e-01 -2.957143403938040649e-01 -1.675943990366869363e-01
-2.533780487804875303e-01 -2.942585815377755099e-01 -1.667039342177288885e-01
-2.523780487804875294e-01 -2.928028226817468993e-01 -1.658134693987708408e-01
